"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL171057"	""	"None"	"462.58"	"0"	"3.95"	"5k"	"COc1ccc(S(=O)(=O)c2ccc(CN3CCCc4cc5c(cc43)nc(N)n5C)cc2)cc1"	"Kii"	"'='"	"0.14"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL817304"	"Inhibition of human Thymidylate synthase (TS)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125390"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"None"	""	""	""
"CHEMBL168069"	""	"None"	"462.53"	"1"	"1.36"	"LY-335580"	"C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)s1)C(=O)O"	"Ki"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL811596"	"Inhibitory activity against recombinant human Thymidylate synthase enzyme"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132123"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1999"	"None"	""	""	""
"CHEMBL308322"	""	"None"	"290.12"	"0"	"2.83"	"4cc"	"Nc1nc(O)c2c(ccc3cc(Br)ccc32)n1"	"Inhibition"	"'='"	"32.3"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL813577"	"Tested for percent inhibition against thymidylate synthase (TS) in Candida albicans at 192 uM"	"B"	"BAO_0000357"	"single protein format"	"Candida albicans"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL307518"	""	"None"	"230.24"	"0"	"2.40"	"7h"	"Cc1nc(O)c2c(n1)CCc1ccc(F)cc1-2"	"Inhibition"	"'='"	"62.2"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL813098"	"Tested against thymidylate synthase (TS) in Candida albicans at 168 uM"	"B"	"BAO_0000357"	"single protein format"	"Candida albicans"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL311404"	""	"None"	"257.29"	"0"	"1.93"	"6r"	"CCOc1ccc2c(c1)-c1c(O)nc(N)nc1CC2"	"Inhibition"	"'='"	"10.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL811215"	"Tested for inhibition against thymidylate synthase (TS) in Candida albicans at 120 uM"	"B"	"BAO_0000357"	"single protein format"	"Candida albicans"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL56662"	""	"None"	"426.55"	"0"	"1.69"	"2h"	"Nc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)CCC3"	"Kii"	"'='"	"0.12"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"1"	"CHEMBL817304"	"Inhibition of human Thymidylate synthase (TS)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125390"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"None"	""	""	""
"CHEMBL22973"	""	"None"	"439.43"	"1"	"1.58"	"5,8-deazafolate"	"Nc1nc(O)c2cc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2n1"	"IC50"	"'='"	"2700.0"	"nM"	"5.57"	""	""	"UO_0000065"	"12.67"	"0.24"	"3.99"	"2.97"	"0"	"CHEMBL809254"	"Ability to inhibit thymidylate synthase derived from human leukemia K562 cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"K562"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1123717"	"1"	"Scientific Literature"	"J Med Chem"	"1987"	"CHEMBL3308378"	""	""	""
"CHEMBL63857"	"PHENOLPHTHALEIN"	"4.0"	"318.33"	"0"	"3.56"	"1a"	"O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21"	"IF"	"'='"	"0.608"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL816045"	"Inhibitory factor against Pneumocystis carinii Thymidylate synthase at 27 uM"	"B"	"BAO_0000357"	"single protein format"	"Pneumocystis carinii"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132636"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"None"	""	""	""
"CHEMBL172176"	""	"None"	"449.60"	"1"	"5.07"	"3i"	"CSc1nc2cc3c(cc2[nH]1)N(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)CCC3"	"Kii"	"'='"	"8.1"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL817304"	"Inhibition of human Thymidylate synthase (TS)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125390"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"None"	""	""	""
"CHEMBL47969"	""	"None"	"98.10"	"0"	"0.49"	"alpha methyl-butenolide"	"CC1C=CC(=O)O1"	"k2"	"'='"	"0.037"	"M-1 s-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL810235"	"The rate constant in Acetonitrile and buffered aqueous acetonitrile solution, at 25 degrees Celsius and pH 7.4"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1123535"	"1"	"Scientific Literature"	"J Med Chem"	"1986"	"None"	""	""	""
