"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL1253498"	""	"None"	"647.64"	"2"	"0.94"	"6, BGC 945"	"C#CCN(c1ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)cc1)C1CCc2cc3nc(CO)[nH]c(=O)c3cc21"	"IC50"	"'='"	"1.2"	"nM"	"8.92"	""	""	"UO_0000065"	"13.77"	"0.26"	"7.98"	"3.73"	"0"	"CHEMBL1253092"	"Inhibition of thymine synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1250453"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL161098"	""	"None"	"442.54"	"1"	"5.18"	"16"	"Cc1ccc2c3c(ccc(N(C)Cc4ccc(S(=O)(=O)c5ccccc5)cc4)c13)NC2=O"	"Kis"	"'='"	"0.073"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL809247"	"Inhibitory activity against thymidylate synthase from human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125372"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"None"	""	""	""
"CHEMBL351601"	""	"None"	"414.49"	"0"	"4.85"	"10"	"O=C1Nc2ccc(NCc3ccc(S(=O)(=O)c4ccccc4)cc3)c3cccc1c23"	"Kis"	"'='"	"2.6"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL809247"	"Inhibitory activity against thymidylate synthase from human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125372"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"None"	""	""	""
"CHEMBL1277418"	""	"None"	"407.26"	"1"	"6.04"	"21"	"Clc1ccc(Oc2nc3ccccc3n3c(-c4ccc(Cl)cc4)nnc23)cc1"	"Inhibition"	"'='"	"53.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL1285686"	"Inhibition of human thymidylate synthase expressed in Escherichia coli BL21 at 25 uM"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1275374"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""	""	""
"CHEMBL3144190"	""	"None"	"490.41"	"0"	"1.54"	"5b"	"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1-c1ccc(OCc2ccccc2)cc1"	"Ki"	"'='"	"29400.0"	"nM"	"4.53"	""	""	"UO_0000065"	"9.24"	"0.18"	"2.99"	"2.83"	"0"	"CHEMBL815567"	"Inhibitory effect on human lymphoblast (Molt/4F) thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124237"	"1"	"Scientific Literature"	"J Med Chem"	"1988"	"None"	""	""	""
"CHEMBL478191"	""	"None"	"368.29"	"0"	"4.70"	"19"	"CC(C)c1c(Sc2c(Cl)cccc2Cl)[nH]c2nc(N)nc(N)c12"	"IC50"	"'>'"	"22000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL982939"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1155823"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL515312"	""	"None"	"349.46"	"0"	"4.38"	"17"	"CCCc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12"	"Inhibition"	"'='"	"0.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL982944"	"Inhibition of human thymidylate synthase at >12 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1155823"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL3144186"	""	"None"	"384.28"	"0"	"-0.04"	"7b"	"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1-c1ccccc1"	"Km"	"'='"	"1340.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL815451"	"Inhibitory effect on human lymphoblast (Molt/4F) thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124237"	"1"	"Scientific Literature"	"J Med Chem"	"1988"	"None"	""	""	""
"CHEMBL3144391"	""	"None"	"418.36"	"0"	"-0.59"	"10"	"CC(=O)OC[C@H]1O[C@@H](n2cc(C3=CC(=O)C=CC3=O)c(=O)[nH]c2=O)C[C@@H]1OC(C)=O"	"k2"	"'='"	"0.53"	"M-1 s-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL810238"	"The rate constant with methyl mercaptoacetate in Acetonitrile and buffered aqueous acetonitrile solution at concentration of 0.00096 M"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1123535"	"1"	"Scientific Literature"	"J Med Chem"	"1986"	"None"	""	""	""
"CHEMBL3144392"	""	"None"	"414.26"	"0"	"-1.61"	"quinone 1a"	"O=C1C=CC(=O)C(c2cn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)O)O3)c(=O)[nH]c2=O)=C1"	"k2"	"'='"	"32000.0"	"M-1 s-1"	""	""	""	""	""	""	""	""	"0"	"CHEMBL810236"	"The rate constant in Acetonitrile and buffered aqueous acetonitrile solution, at 30 degrees C and pH 6.8"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1123535"	"1"	"Scientific Literature"	"J Med Chem"	"1986"	"None"	""	""	""
"CHEMBL563212"	""	"None"	"363.46"	"0"	"3.30"	"2l"	"CCc1sc2nc(N)[nH]c(=O)c2c1Sc1cc(OC)cc(OC)c1"	"IC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	"16.29"	"0.34"	"2.62"	"6.56"	"0"	"CHEMBL1062966"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1151945"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL225072"	"PEMETREXED"	"4.0"	"427.42"	"1"	"0.67"	"LY-231514, alimta"	"Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1"	"IC50"	"'='"	"19000.0"	"nM"	"4.72"	""	""	"UO_0000065"	"11.05"	"0.21"	"4.05"	"2.47"	"0"	"CHEMBL918702"	"Inhibition of human recombinant thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149313"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""
"CHEMBL223279"	""	"None"	"441.44"	"0"	"1.61"	"4"	"Nc1nc(N)c2c(CCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1"	"IC50"	"'>'"	"18000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL918702"	"Inhibition of human recombinant thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149313"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""
"CHEMBL216675"	""	"None"	"560.62"	"2"	"6.89"	"16"	"O=C1OC(c2ccc(O)c(Br)c2)(c2ccc(O)c(Br)c2)c2ccc(Cl)c3cccc1c23"	"Ki"	"'>'"	"245000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL912374"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137378"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL386282"	""	"None"	"506.17"	"2"	"7.33"	"12"	"O=C1OC(c2cc(Cl)c(O)c(Cl)c2)(c2cc(Cl)c(O)c(Cl)c2)c2cccc3cccc1c23"	"Ki"	"'='"	"5700.0"	"nM"	"5.24"	""	""	"UO_0000065"	"10.36"	"0.22"	"-2.09"	"7.86"	"0"	"CHEMBL912374"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137378"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL217000"	""	"None"	"471.72"	"1"	"6.67"	"11"	"O=C1OC(c2ccc(O)c(Cl)c2)(c2ccc(O)c(Cl)c2)c2ccc(Cl)c3cccc1c23"	"Ki"	"'>'"	"120000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL912374"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137378"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL411871"	""	"None"	"404.37"	"0"	"4.99"	"8"	"O=C1OC(c2ccc(O)c(F)c2)(c2ccc(O)c(F)c2)c2ccc3ccccc3c21"	"Ki"	"'>'"	"132000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL912374"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137378"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL440496"	""	"None"	"246.70"	"0"	"2.91"	"7i"	"Cc1nc(O)c2c(n1)CCc1ccc(Cl)cc1-2"	"IC50"	"'='"	"3100.0"	"nM"	"5.51"	""	""	"UO_0000065"	"22.33"	"0.44"	"2.60"	"11.97"	"0"	"CHEMBL809252"	"Activity against human thymidylate synthase (TS)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL440496"	""	"None"	"246.70"	"0"	"2.91"	"7i"	"Cc1nc(O)c2c(n1)CCc1ccc(Cl)cc1-2"	"Inhibition"	"'='"	"43.3"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL808506"	"Tested against thymidylate synthase (TS) in Candida albicans at 20.6 uM"	"B"	"BAO_0000357"	"single protein format"	"Candida albicans"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL290277"	""	"None"	"864.82"	"3"	"-0.35"	"32"	"C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1"	"Fold increase"	"'='"	"171.0"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL809248"	"Fold increase of inhibition of human thymidylate synthase from that of control"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124318"	"1"	"Scientific Literature"	"J Med Chem"	"1989"	"None"	""	""	""
"CHEMBL400364"	""	"None"	"317.33"	"0"	"2.20"	"10"	"Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc([N+](=O)[O-])cc1"	"IC50"	"'='"	"150.0"	"nM"	"6.82"	""	""	"UO_0000065"	"21.50"	"0.42"	"4.62"	"5.22"	"0"	"CHEMBL816742"	"The inhibitory concentration of compound was evaluated on Human Thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129396"	"1"	"Scientific Literature"	"J Med Chem"	"1996"	"None"	""	""	""
"CHEMBL111859"	""	"None"	"460.52"	"0"	"3.93"	"1a"	"Cc1ccc2nc(N)nc(O)c2c1Sc1ccc(C(=O)N[C@H](C(=O)O)c2ccccc2)cc1"	"Relative potency"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL818065"	"Relative potency to inhibit Thymidylate synthase in human, expressed as the ratio of IC50 of reference compound to that of the compound; Not determined"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130681"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""
"CHEMBL2368783"	""	"None"	"764.64"	"3"	"-1.15"	"2"	"Nc1nc(O)c2c(n1)CCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"390.0"	"nM"	"6.41"	""	""	"UO_0000065"	"8.38"	"0.17"	"7.56"	"1.87"	"0"	"CHEMBL814751"	"Inhibition of human thymidylate synthase at 600 uM concentration of 5,10-CH2-H4PteGlu"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124003"	"1"	"Scientific Literature"	"J Med Chem"	"1988"	"None"	""	""	""
"CHEMBL417763"	""	"None"	"303.37"	"0"	"2.88"	"13"	"CNC1=Nc2ccc(N(C)Cc3ccnnc3)c3cccc1c23"	"Ki"	"'='"	"310.0"	"nM"	"6.51"	""	""	"UO_0000065"	"21.45"	"0.39"	"3.63"	"12.19"	"0"	"CHEMBL815566"	"Inhibitory effect against recombinant human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1128577"	"1"	"Scientific Literature"	"J Med Chem"	"1995"	"None"	""	""	""
"CHEMBL74311"	""	"None"	"212.25"	"0"	"2.26"	"4c"	"Cc1nc(O)c2c(n1)CCc1ccccc1-2"	"Ki"	"'='"	"35600.0"	"nM"	"4.45"	""	""	"UO_0000065"	"20.96"	"0.38"	"2.19"	"9.67"	"0"	"CHEMBL811594"	"Inhibition of purified human thymidylate synthase isolated from an Escherichia coli harboring thy A gene cloned from SV40 transformed human fibroblast cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Fibroblast"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126944"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"CHEMBL3308065"	""	""	""
"CHEMBL170177"	""	"None"	"435.43"	"0"	"3.58"	"17"	"C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(S(=O)(=O)C(F)(F)F)cc1"	"Kii"	"'='"	"0.028"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL817305"	"Inhibitory activity against human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129494"	"1"	"Scientific Literature"	"J Med Chem"	"1996"	"None"	""	""	""
"CHEMBL75044"	""	"None"	"305.13"	"0"	"2.42"	"15c"	"Nc1nc(O)c2c(ccc3cc(N)c(Br)cc32)n1"	"IC50"	"'='"	"340.0"	"nM"	"6.47"	""	""	"UO_0000065"	"21.20"	"0.49"	"4.05"	"6.60"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL307015"	""	"None"	"289.13"	"0"	"3.56"	"8a"	"Cc1nc(O)c2c(ccc3ccc(Br)cc32)n1"	"IC50"	"'='"	"290.0"	"nM"	"6.54"	""	""	"UO_0000065"	"22.61"	"0.53"	"2.98"	"14.21"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL76106"	""	"None"	"335.12"	"0"	"2.74"	"4p"	"Nc1nc(O)c2c(ccc3cc([N+](=O)[O-])c(Br)cc32)n1"	"IC50"	"'='"	"3120.0"	"nM"	"5.51"	""	""	"UO_0000065"	"16.43"	"0.38"	"2.77"	"4.78"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL74485"	""	"None"	"226.24"	"0"	"1.65"	"15h"	"Nc1ccc2c(ccc3nc(N)nc(O)c32)c1"	"IC50"	"'='"	"7500.0"	"nM"	"5.12"	""	""	"UO_0000065"	"22.65"	"0.41"	"3.47"	"5.23"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL74485"	""	"None"	"226.24"	"0"	"1.65"	"15h"	"Nc1ccc2c(ccc3nc(N)nc(O)c32)c1"	"Inhibition"	"'='"	"47.9"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL809423"	"Tested for percent inhibition against thymidylate synthase (TS) in Candida albicans at 131 uM"	"B"	"BAO_0000357"	"single protein format"	"Candida albicans"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL73107"	""	"None"	"256.22"	"0"	"1.98"	"14b"	"Nc1nc(O)c2c(ccc3cc([N+](=O)[O-])ccc32)n1"	"Inhibition"	"'='"	"13.1"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL813578"	"Tested for percent inhibition against thymidylate synthase (TS) in Candida albicans at 204 uM"	"B"	"BAO_0000357"	"single protein format"	"Candida albicans"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL73755"	""	"None"	"259.70"	"0"	"3.03"	"4l"	"Cc1cc2nc(N)nc(O)c2c2ccc(Cl)cc12"	"IC50"	"'='"	"6900.0"	"nM"	"5.16"	""	""	"UO_0000065"	"19.87"	"0.39"	"2.13"	"7.17"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL293823"	""	"None"	"289.34"	"0"	"2.62"	"2"	"CN(Cc1ccnnc1)c1ccc2c3c(cccc13)C(N)=N2"	"Ki"	"'='"	"15.0"	"nM"	"7.82"	""	""	"UO_0000065"	"27.04"	"0.49"	"5.20"	"11.61"	"0"	"CHEMBL815566"	"Inhibitory effect against recombinant human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1128577"	"1"	"Scientific Literature"	"J Med Chem"	"1995"	"None"	""	""	""
"CHEMBL598293"	""	"None"	"332.39"	"0"	"2.86"	"15"	"COc1ccc(Sc2oc3nc(N)nc(N)c3c2C)cc1OC"	"IC50"	"'>'"	"200000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1073053"	"Inhibition of human thymidylate synthase at 30 degC under pH 7.4 by spectrophotometry"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1159120"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""	""	""
"CHEMBL40321"	""	"None"	"452.47"	"0"	"1.92"	"3"	"Cc1nc2ccc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1"	"IC50"	"'='"	"302.0"	"nM"	"6.52"	""	""	"UO_0000065"	"14.41"	"0.27"	"4.60"	"4.27"	"0"	"CHEMBL1106435"	"Inhibition of thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157058"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL389051"	""	"None"	"477.48"	"0"	"1.19"	"31"	"C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1"	"IC50"	"'='"	"19.95"	"nM"	"7.70"	""	""	"UO_0000065"	"16.13"	"0.30"	"6.51"	"4.31"	"0"	"CHEMBL1106435"	"Inhibition of thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157058"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL596673"	""	"None"	"322.39"	"0"	"4.00"	"7"	"Cc1c(Sc2ccc3ccccc3c2)oc2nc(N)nc(N)c12"	"IC50"	"'>'"	"200000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1073053"	"Inhibition of human thymidylate synthase at 30 degC under pH 7.4 by spectrophotometry"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1159120"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""	""	""
"CHEMBL323565"	""	"None"	"427.42"	"0"	"1.22"	"3"	"Nc1nc(N)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1"	"IC50"	"'>'"	"200000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1073053"	"Inhibition of human thymidylate synthase at 30 degC under pH 7.4 by spectrophotometry"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1159120"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""	""	""
